ngram,phones,words,file,start_s,end_s
diphone,k a,canard,1-2.wav,6.830,6.980
diphone,a n,canard,1-2.wav,6.890,7.070
diphone,n a,canard,1-2.wav,6.980,7.240
diphone,a ʁ,canard,1-2.wav,7.070,7.400
diphone,ʁ a,canard apprend,1-2.wav,7.240,7.550
diphone,a p,apprend,1-2.wav,7.440,7.670
diphone,p ʁ,apprend,1-2.wav,7.550,7.760
diphone,ʁ ɑ̃,apprend,1-2.wav,7.670,7.890
diphone,ɑ̃ a,apprend à,1-2.wav,7.760,8.050
diphone,a n,à nager,1-2.wav,7.920,8.150
diphone,n a,nager,1-2.wav,8.050,8.250
diphone,a ʒ,nager,1-2.wav,8.150,8.380
diphone,ʒ e,nager,1-2.wav,8.250,8.610
diphone,e l,nager la,1-2.wav,8.380,9.590
diphone,l a,la,1-2.wav,9.500,9.660
diphone,a v,la voiture,1-2.wav,9.590,9.770
diphone,v w,voiture,1-2.wav,9.660,9.860
diphone,w a,voiture,1-2.wav,9.770,9.940
diphone,a t,voiture,1-2.wav,9.860,10.070
diphone,t y,voiture,1-2.wav,9.940,10.220
diphone,y ʁ,voiture,1-2.wav,10.070,10.360
diphone,ʁ s,voiture s'est,1-2.wav,10.220,10.480
diphone,s ɛ,s'est,1-2.wav,10.360,10.670
diphone,ɛ a,s'est arrêtée,1-2.wav,10.480,10.730
diphone,a ʁ,arrêtée,1-2.wav,10.670,10.820
diphone,ʁ ɛ,arrêtée,1-2.wav,10.730,10.880
diphone,ɛ t,arrêtée,1-2.wav,10.820,11.010
diphone,t e,arrêtée,1-2.wav,10.880,11.140
diphone,e o,arrêtée au,1-2.wav,11.010,11.260
diphone,o f,au feu,1-2.wav,11.140,11.450
diphone,f ø,feu,1-2.wav,11.260,11.520
diphone,ø ʁ,feu rouge,1-2.wav,11.450,11.640
diphone,ʁ u,rouge,1-2.wav,11.520,11.840
diphone,u ʒ,rouge,1-2.wav,11.640,12.090
diphone,ʒ l,rouge la,1-2.wav,11.840,12.910
